# FDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
00 | 1 | 2 | RLC  | LD B, RLC (IY+d)    |    B | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,B=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
90 | 1 | 2 | RES  | LD B, RES 2, (IY+d) |    B | (IY+d) | $(IY+d):2=0,B=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
91 | 1 | 2 | RES  | LD C, RES 2, (IY+d) |    C | (IY+d) | $(IY+d):2=0,C=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
92 | 1 | 2 | RES  | LD D, RES 2, (IY+d) |    D | (IY+d) | $(IY+d):2=0,D=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
93 | 1 | 2 | RES  | LD E, RES 2, (IY+d) |    E | (IY+d) | $(IY+d):2=0,E=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
94 | 1 | 2 | RES  | LD H, RES 2, (IY+d) |    H | (IY+d) | $(IY+d):2=0,H=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
95 | 1 | 2 | RES  | LD L, RES 2, (IY+d) |    L | (IY+d) | $(IY+d):2=0,L=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
96 | 1 | 2 | RES  | RES 2, (IY+d)       |      |        | $(IY+d):2=0                                  | Reset bit 2 of memory $(IY+{d})
97 | 1 | 2 | RES  | LD A, RES 2, (IY+d) |    A | (IY+d) | $(IY+d):2=0,A=$(IY+d)                        | Reset bit 2 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
98 | 1 | 2 | RES  | LD B, RES 3, (IY+d) |    B | (IY+d) | $(IY+d):3=0,B=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
99 | 1 | 2 | RES  | LD C, RES 3, (IY+d) |    C | (IY+d) | $(IY+d):3=0,C=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
9a | 1 | 2 | RES  | LD D, RES 3, (IY+d) |    D | (IY+d) | $(IY+d):3=0,D=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
9b | 1 | 2 | RES  | LD E, RES 3, (IY+d) |    E | (IY+d) | $(IY+d):3=0,E=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
9c | 1 | 2 | RES  | LD H, RES 3, (IY+d) |    H | (IY+d) | $(IY+d):3=0,H=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
9d | 1 | 2 | RES  | LD L, RES 3, (IY+d) |    L | (IY+d) | $(IY+d):3=0,L=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
9e | 1 | 2 | RES  | RES 3, (IY+d)       |      |        | $(IY+d):3=0                                  | Reset bit 3 of memory $(IY+{d})
9f | 1 | 2 | RES  | LD A, RES 3, (IY+d) |    A | (IY+d) | $(IY+d):3=0,A=$(IY+d)                        | Reset bit 3 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
a0 | 1 | 2 | RES  | LD B, RES 4, (IY+d) |    B | (IY+d) | $(IY+d):4=0,B=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
a1 | 1 | 2 | RES  | LD C, RES 4, (IY+d) |    C | (IY+d) | $(IY+d):4=0,C=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
a2 | 1 | 2 | RES  | LD D, RES 4, (IY+d) |    D | (IY+d) | $(IY+d):4=0,D=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
a3 | 1 | 2 | RES  | LD E, RES 4, (IY+d) |    E | (IY+d) | $(IY+d):4=0,E=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
a4 | 1 | 2 | RES  | LD H, RES 4, (IY+d) |    H | (IY+d) | $(IY+d):4=0,H=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
a5 | 1 | 2 | RES  | LD L, RES 4, (IY+d) |    L | (IY+d) | $(IY+d):4=0,L=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
a6 | 1 | 2 | RES  | RES 4, (IY+d)       |      |        | $(IY+d):4=0                                  | Reset bit 4 of memory $(IY+{d})
a7 | 1 | 2 | RES  | LD A, RES 4, (IY+d) |    A | (IY+d) | $(IY+d):4=0,A=$(IY+d)                        | Reset bit 4 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
a8 | 1 | 2 | RES  | LD B, RES 5, (IY+d) |    B | (IY+d) | $(IY+d):5=0,B=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
a9 | 1 | 2 | RES  | LD C, RES 5, (IY+d) |    C | (IY+d) | $(IY+d):5=0,C=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
aa | 1 | 2 | RES  | LD D, RES 5, (IY+d) |    D | (IY+d) | $(IY+d):5=0,D=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
ab | 1 | 2 | RES  | LD E, RES 5, (IY+d) |    E | (IY+d) | $(IY+d):5=0,E=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
ac | 1 | 2 | RES  | LD H, RES 5, (IY+d) |    H | (IY+d) | $(IY+d):5=0,H=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
ad | 1 | 2 | RES  | LD L, RES 5, (IY+d) |    L | (IY+d) | $(IY+d):5=0,L=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
ae | 1 | 2 | RES  | RES 5, (IY+d)       |      |        | $(IY+d):5=0                                  | Reset bit 5 of memory $(IY+{d})
af | 1 | 2 | RES  | LD A, RES 5, (IY+d) |    A | (IY+d) | $(IY+d):5=0,A=$(IY+d)                        | Reset bit 5 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
b0 | 1 | 2 | RES  | LD B, RES 6, (IY+d) |    B | (IY+d) | $(IY+d):6=0,B=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
b1 | 1 | 2 | RES  | LD C, RES 6, (IY+d) |    C | (IY+d) | $(IY+d):6=0,C=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
b2 | 1 | 2 | RES  | LD D, RES 6, (IY+d) |    D | (IY+d) | $(IY+d):6=0,D=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
b3 | 1 | 2 | RES  | LD E, RES 6, (IY+d) |    E | (IY+d) | $(IY+d):6=0,E=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
b4 | 1 | 2 | RES  | LD H, RES 6, (IY+d) |    H | (IY+d) | $(IY+d):6=0,H=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
b5 | 1 | 2 | RES  | LD L, RES 6, (IY+d) |    L | (IY+d) | $(IY+d):6=0,L=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
b6 | 1 | 2 | RES  | RES 6, (IY+d)       |      |        | $(IY+d):6=0                                  | Reset bit 6 of memory $(IY+{d})
b7 | 1 | 2 | RES  | LD A, RES 6, (IY+d) |    A | (IY+d) | $(IY+d):6=0,A=$(IY+d)                        | Reset bit 6 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
b8 | 1 | 2 | RES  | LD B, RES 7, (IY+d) |    B | (IY+d) | $(IY+d):7=0,B=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
b9 | 1 | 2 | RES  | LD C, RES 7, (IY+d) |    C | (IY+d) | $(IY+d):7=0,C=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
ba | 1 | 2 | RES  | LD D, RES 7, (IY+d) |    D | (IY+d) | $(IY+d):7=0,D=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
bb | 1 | 2 | RES  | LD E, RES 7, (IY+d) |    E | (IY+d) | $(IY+d):7=0,E=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
bc | 1 | 2 | RES  | LD H, RES 7, (IY+d) |    H | (IY+d) | $(IY+d):7=0,H=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
bd | 1 | 2 | RES  | LD L, RES 7, (IY+d) |    L | (IY+d) | $(IY+d):7=0,L=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
be | 1 | 2 | RES  | RES 7, (IY+d)       |      |        | $(IY+d):7=0                                  | Reset bit 7 of memory $(IY+{d})
bf | 1 | 2 | RES  | LD A, RES 7, (IY+d) |    A | (IY+d) | $(IY+d):7=0,A=$(IY+d)                        | Reset bit 7 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
c0 | 1 | 2 | SET  | LD B, SET 0, (IY+d) |    B | (IY+d) | $(IY+d):0=1,B=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
c1 | 1 | 2 | SET  | LD C, SET 0, (IY+d) |    C | (IY+d) | $(IY+d):0=1,C=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
c2 | 1 | 2 | SET  | LD D, SET 0, (IY+d) |    D | (IY+d) | $(IY+d):0=1,D=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
c3 | 1 | 2 | SET  | LD E, SET 0, (IY+d) |    E | (IY+d) | $(IY+d):0=1,E=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
c4 | 1 | 2 | SET  | LD H, SET 0, (IY+d) |    H | (IY+d) | $(IY+d):0=1,H=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
c5 | 1 | 2 | SET  | LD L, SET 0, (IY+d) |    L | (IY+d) | $(IY+d):0=1,L=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
c6 | 1 | 2 | SET  | SET 0, (IY+d)       |      |        | $(IY+d):0=1                                  | Set bit 0 of memory $(IY+{d})
c7 | 1 | 2 | SET  | LD A, SET 0, (IY+d) |    A | (IY+d) | $(IY+d):0=1,A=$(IY+d)                        | Set bit 0 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
c8 | 1 | 2 | SET  | LD B, SET 1, (IY+d) |    B | (IY+d) | $(IY+d):1=1,B=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
c9 | 1 | 2 | SET  | LD C, SET 1, (IY+d) |    C | (IY+d) | $(IY+d):1=1,C=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
ca | 1 | 2 | SET  | LD D, SET 1, (IY+d) |    D | (IY+d) | $(IY+d):1=1,D=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
cb | 1 | 2 | SET  | LD E, SET 1, (IY+d) |    E | (IY+d) | $(IY+d):1=1,E=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
cc | 1 | 2 | SET  | LD H, SET 1, (IY+d) |    H | (IY+d) | $(IY+d):1=1,H=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
cd | 1 | 2 | SET  | LD L, SET 1, (IY+d) |    L | (IY+d) | $(IY+d):1=1,L=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
ce | 1 | 2 | SET  | SET 1, (IY+d)       |      |        | $(IY+d):1=1                                  | Set bit 1 of memory $(IY+{d})
cf | 1 | 2 | SET  | LD A, SET 1, (IY+d) |    A | (IY+d) | $(IY+d):1=1,A=$(IY+d)                        | Set bit 1 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
d0 | 1 | 2 | SET  | LD B, SET 2, (IY+d) |    B | (IY+d) | $(IY+d):2=1,B=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
d1 | 1 | 2 | SET  | LD C, SET 2, (IY+d) |    C | (IY+d) | $(IY+d):2=1,C=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
d2 | 1 | 2 | SET  | LD D, SET 2, (IY+d) |    D | (IY+d) | $(IY+d):2=1,D=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
d3 | 1 | 2 | SET  | LD E, SET 2, (IY+d) |    E | (IY+d) | $(IY+d):2=1,E=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
d4 | 1 | 2 | SET  | LD H, SET 2, (IY+d) |    H | (IY+d) | $(IY+d):2=1,H=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
d5 | 1 | 2 | SET  | LD L, SET 2, (IY+d) |    L | (IY+d) | $(IY+d):2=1,L=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
d6 | 1 | 2 | SET  | SET 2, (IY+d)       |      |        | $(IY+d):2=1                                  | Set bit 2 of memory $(IY+{d})
d7 | 1 | 2 | SET  | LD A, SET 2, (IY+d) |    A | (IY+d) | $(IY+d):2=1,A=$(IY+d)                        | Set bit 2 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
d8 | 1 | 2 | SET  | LD B, SET 3, (IY+d) |    B | (IY+d) | $(IY+d):3=1,B=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
d9 | 1 | 2 | SET  | LD C, SET 3, (IY+d) |    C | (IY+d) | $(IY+d):3=1,C=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
da | 1 | 2 | SET  | LD D, SET 3, (IY+d) |    D | (IY+d) | $(IY+d):3=1,D=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
db | 1 | 2 | SET  | LD E, SET 3, (IY+d) |    E | (IY+d) | $(IY+d):3=1,E=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
dc | 1 | 2 | SET  | LD H, SET 3, (IY+d) |    H | (IY+d) | $(IY+d):3=1,H=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
dd | 1 | 2 | SET  | LD L, SET 3, (IY+d) |    L | (IY+d) | $(IY+d):3=1,L=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
de | 1 | 2 | SET  | SET 3, (IY+d)       |      |        | $(IY+d):3=1                                  | Set bit 3 of memory $(IY+{d})
df | 1 | 2 | SET  | LD A, SET 3, (IY+d) |    A | (IY+d) | $(IY+d):3=1,A=$(IY+d)                        | Set bit 3 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
e0 | 1 | 2 | SET  | LD B, SET 4, (IY+d) |    B | (IY+d) | $(IY+d):4=1,B=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
e1 | 1 | 2 | SET  | LD C, SET 4, (IY+d) |    C | (IY+d) | $(IY+d):4=1,C=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
e2 | 1 | 2 | SET  | LD D, SET 4, (IY+d) |    D | (IY+d) | $(IY+d):4=1,D=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
e3 | 1 | 2 | SET  | LD E, SET 4, (IY+d) |    E | (IY+d) | $(IY+d):4=1,E=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
e4 | 1 | 2 | SET  | LD H, SET 4, (IY+d) |    H | (IY+d) | $(IY+d):4=1,H=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
e5 | 1 | 2 | SET  | LD L, SET 4, (IY+d) |    L | (IY+d) | $(IY+d):4=1,L=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
e6 | 1 | 2 | SET  | SET 4, (IY+d)       |      |        | $(IY+d):4=1                                  | Set bit 4 of memory $(IY+{d})
e7 | 1 | 2 | SET  | LD A, SET 4, (IY+d) |    A | (IY+d) | $(IY+d):4=1,A=$(IY+d)                        | Set bit 4 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
e8 | 1 | 2 | SET  | LD B, SET 5, (IY+d) |    B | (IY+d) | $(IY+d):5=1,B=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
e9 | 1 | 2 | SET  | LD C, SET 5, (IY+d) |    C | (IY+d) | $(IY+d):5=1,C=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
ea | 1 | 2 | SET  | LD D, SET 5, (IY+d) |    D | (IY+d) | $(IY+d):5=1,D=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
eb | 1 | 2 | SET  | LD E, SET 5, (IY+d) |    E | (IY+d) | $(IY+d):5=1,E=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
ec | 1 | 2 | SET  | LD H, SET 5, (IY+d) |    H | (IY+d) | $(IY+d):5=1,H=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
ed | 1 | 2 | SET  | LD L, SET 5, (IY+d) |    L | (IY+d) | $(IY+d):5=1,L=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
ee | 1 | 2 | SET  | SET 5, (IY+d)       |      |        | $(IY+d):5=1                                  | Set bit 5 of memory $(IY+{d})
ef | 1 | 2 | SET  | LD A, SET 5, (IY+d) |    A | (IY+d) | $(IY+d):5=1,A=$(IY+d)                        | Set bit 5 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
f0 | 1 | 2 | SET  | LD B, SET 6, (IY+d) |    B | (IY+d) | $(IY+d):6=1,B=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
f1 | 1 | 2 | SET  | LD C, SET 6, (IY+d) |    C | (IY+d) | $(IY+d):6=1,C=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
f2 | 1 | 2 | SET  | LD D, SET 6, (IY+d) |    D | (IY+d) | $(IY+d):6=1,D=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
f3 | 1 | 2 | SET  | LD E, SET 6, (IY+d) |    E | (IY+d) | $(IY+d):6=1,E=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
f4 | 1 | 2 | SET  | LD H, SET 6, (IY+d) |    H | (IY+d) | $(IY+d):6=1,H=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
f5 | 1 | 2 | SET  | LD L, SET 6, (IY+d) |    L | (IY+d) | $(IY+d):6=1,L=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
f6 | 1 | 2 | SET  | SET 6, (IY+d)       |      |        | $(IY+d):6=1                                  | Set bit 6 of memory $(IY+{d})
f7 | 1 | 2 | SET  | LD A, SET 6, (IY+d) |    A | (IY+d) | $(IY+d):6=1,A=$(IY+d)                        | Set bit 6 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
f8 | 1 | 2 | SET  | LD B, SET 7, (IY+d) |    B | (IY+d) | $(IY+d):7=1,B=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
f9 | 1 | 2 | SET  | LD C, SET 7, (IY+d) |    C | (IY+d) | $(IY+d):7=1,C=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
fa | 1 | 2 | SET  | LD D, SET 7, (IY+d) |    D | (IY+d) | $(IY+d):7=1,D=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
fb | 1 | 2 | SET  | LD E, SET 7, (IY+d) |    E | (IY+d) | $(IY+d):7=1,E=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
fc | 1 | 2 | SET  | LD H, SET 7, (IY+d) |    H | (IY+d) | $(IY+d):7=1,H=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
fd | 1 | 2 | SET  | LD L, SET 7, (IY+d) |    L | (IY+d) | $(IY+d):7=1,L=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
fe | 1 | 2 | SET  | SET 7, (IY+d)       |      |        | $(IY+d):7=1                                  | Set bit 7 of memory $(IY+{d})
ff | 1 | 2 | SET  | LD A, SET 7, (IY+d) |    A | (IY+d) | $(IY+d):7=1,A=$(IY+d)                        | Set bit 7 of memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
